"Trends in Age-adjusted Cancer Death Rates* by Site, Females, US, 1930-2011",,,,,,,
Year,Stomach,Colon and Rectum,Pancreas‡,Lung and Bronchus,Breast,Uterus†,Liver‡
1980,5.1,24.7,8.8,24.3,31.7,9.6,4.5
1981,5.0,24.3,8.9,25.1,31.9,9.2,4.3
1982,4.9,23.9,8.8,26.7,32.2,9.0,4.4
1983,4.8,23.6,9.1,28.3,32.1,8.9,4.2
1984,4.7,23.9,9.2,29.1,32.9,8.6,4.2
1985,4.4,23.4,9.0,30.6,33.0,8.5,4.3
1986,4.2,22.6,9.2,31.6,32.9,8.3,4.2
1987,4.2,22.3,9.2,32.9,32.7,8.1,4.1
1988,4.2,21.8,9.0,34.3,33.2,8.0,4.1
1989,4.2,21.5,9.2,35.9,33.2,7.9,4.2
1990,4.2,21.0,9.3,37.0,33.1,8.0,4.2
1991,4.0,20.6,9.3,37.8,32.7,7.7,4.3
1992,3.9,20.2,9.3,38.9,31.6,7.7,4.3
1993,3.8,20.1,9.4,39.4,31.4,7.6,4.4
1994,3.7,19.6,9.3,39.8,30.9,7.5,4.4
1995,3.7,19.5,9.2,40.4,30.6,7.4,4.5
1996,3.5,18.8,9.2,40.6,29.5,7.3,4.4
1997,3.4,18.5,9.1,40.9,28.2,7.1,4.4
1998,3.4,18.3,9.2,41.1,27.5,7.1,4.3
1999,3.3,18,9.3,40.3,26.6,6.9,4.4
2000,3.2,17.8,9.3,41.2,26.6,6.9,4.3
2001,3.1,17.4,9.3,41.1,26.0,6.9,4.4
2002,3.0,16.9,9.2,41.7,25.6,6.7,4.3
2003,3.0,16.5,9.3,41.4,25.3,6.6,4.3
2004,2.9,15.6,9.3,41.0,24.5,6.6,4.5
2005,2.7,15.1,9.5,40.8,24.1,6.5,4.5
2006,2.7,15.0,9.6,40.3,23.6,6.7,4.5
2007,2.6,14.6,9.5,40.2,23.0,6.6,4.4
2008,2.5,14.3,9.7,39.2,22.6,6.6,4.4
2009,2.4,13.6,9.5,38.7,22.2,6.5,4.5
2010,2.5,13.3,9.6,38,21.9,6.7,4.7
2011,2.3,13.1,9.5,37.1,21.5,6.8,4.7
"* Per 100,000, age adjusted to the 2000 US standard population.",,,,,,,
† Uterus refers to uterine cervix and uterine corpus combined.,,,,,,,
‡ Mortality rates for pancreatic and liver cancers are increasing. ,,,,,,,
"Note: Due to changes in ICD coding, numerator information has changed over time. Rates for cancer of the liver, lung and bronchus, and colon and rectum are affected by these coding changes.",,,,,,,
,,,,,,,
"Source: US Mortality Volumes 1930 to 1959, US Mortality Data 1960 to 2011, National Center for Health Statistics, Centers for Disease Control and Prevention.",,,,,,,
,,,,"                                                ©2015, American Cancer Society, Inc., Surveillance Research",,,
